id,subscription_contract_id,created_at,completed_at,error_code,error_message,idempotency_key,next_action_url,ready,order_id
70411059247,31520292911,2025-09-20T08:08:04Z,2025-09-20T08:08:04Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,7454281310ab2e0c,,True,
50605260847,20214251567,2025-05-16T08:06:30Z,2025-05-16T08:06:33Z,,,2257bc6a53e7b0b0,,True,5898458529839
54920118319,20214251567,2025-06-16T08:05:24Z,2025-06-16T08:05:28Z,,,7fdecd39625ccae7,,True,5946138918959
59460485167,20214251567,2025-07-16T08:05:30Z,2025-07-16T08:05:33Z,,,804f953220df4a1a,,True,5996805619759
64512917551,20214251567,2025-08-16T08:05:05Z,2025-08-16T08:05:05Z,PAYMENT_METHOD_INCOMPATIBLE_WITH_GATEWAY_CONFIG,Payment method cannot be used with the current payment gateway test mode configuration,f1990de1af9492d5,,True,
64964689967,20214251567,2025-08-19T08:05:35Z,2025-08-19T08:05:38Z,,,5d68e663718ea7f4,,True,6054675054639
70234243119,20214251567,2025-09-19T08:05:26Z,2025-09-19T08:05:29Z,,,8cd6750affb16fd7,,True,6130657558575
75537678383,20214251567,2025-10-19T08:04:57Z,2025-10-19T08:04:59Z,,,707e36ae85fe0942,,True,6181361778735
81148837935,20214251567,2025-11-19T08:05:28Z,2025-11-19T08:05:40Z,,,121c38a7f9ff1bfd,,True,6242674475055
87144726575,20214251567,2025-12-19T08:05:48Z,2025-12-19T08:05:56Z,,,0950145c7ea8789a,,True,6317525139503
93681844271,20214251567,2026-01-19T08:04:18Z,2026-01-19T08:04:23Z,,,5523f84b5e47e06b,,True,6366933909551
100593696815,20214251567,2026-02-19T08:04:29Z,2026-02-19T08:04:34Z,,,a79c2543662173ac,,True,6420089962543
107013832751,20214251567,2026-03-19T08:04:17Z,2026-03-19T08:04:23Z,,,f1ff23b4db9a4473,,True,6474668179503
