id,name,subscription_contract_id,created_at,cancelled_at,closed,closed_at,fully_paid,display_fulfillment_status,display_financial_status,subtotal_price,total_price,total_tax,taxes_included
6041802965039,1082,31330926639,2025-08-13T21:23:57Z,2025-08-18T01:59:11Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041808797743,1084,31331123247,2025-08-13T21:29:05Z,2025-08-18T01:59:16Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041837600815,1091,31332171823,2025-08-13T21:59:22Z,2025-08-18T01:59:32Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041839829039,1092,31332237359,2025-08-13T22:01:33Z,2025-08-18T01:59:36Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041852346415,1095,31332794415,2025-08-13T22:12:56Z,2025-08-18T01:59:45Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041854738479,1096,31332827183,2025-08-13T22:15:07Z,2025-08-18T01:59:47Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041828327471,1089,31331811375,2025-08-13T21:49:21Z,2025-08-18T01:59:27Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041798377519,1081,31330861103,2025-08-13T21:20:33Z,2025-08-18T01:59:09Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041732087855,1069,31328731183,2025-08-13T20:19:20Z,2025-08-18T02:01:30Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041833209903,1090,31332040751,2025-08-13T21:54:02Z,2025-08-18T01:59:29Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041783894063,1077,31330238511,2025-08-13T21:06:00Z,2025-08-18T01:59:00Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041791954991,1079,31330631727,2025-08-13T21:13:44Z,2025-08-18T01:59:04Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041821970479,1088,31331450927,2025-08-13T21:42:19Z,2025-08-18T01:59:25Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050094415919,1102,31397052463,2025-08-15T21:20:07Z,2025-08-18T01:59:58Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050155331631,1113,31398920239,2025-08-15T22:14:59Z,2025-08-18T02:00:25Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050172928047,1116,31399247919,2025-08-15T22:32:48Z,2025-08-18T02:00:32Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6055439040559,1124,31520194607,2025-08-19T20:57:45Z,2025-08-20T03:03:19Z,False,,True,UNFULFILLED,VOIDED,3744.0,3744.0,181.95,True
6050167783471,1115,31399149615,2025-08-15T22:27:26Z,2025-08-18T02:00:29Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041788153903,1078,31330435119,2025-08-13T21:10:26Z,2025-08-18T01:59:02Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050136358959,1109,31398428719,2025-08-15T21:56:57Z,2025-08-18T02:00:15Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041806864431,1083,31331024943,2025-08-13T21:27:26Z,2025-08-18T01:59:13Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050183512111,1118,31399608367,2025-08-15T22:42:50Z,2025-08-18T02:00:37Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050131345455,1108,31398330415,2025-08-15T21:52:20Z,2025-08-18T02:00:13Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050111684655,1105,31397576751,2025-08-15T21:35:41Z,2025-08-18T02:00:05Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6041795493935,1080,31330730031,2025-08-13T21:17:39Z,2025-08-18T01:59:07Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050101002287,1103,31397216303,2025-08-15T21:25:47Z,2025-08-18T02:00:01Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
5898458529839,1058,20214251567,2025-05-16T08:06:33Z,,True,2025-05-16T11:44:06Z,True,FULFILLED,PAID,99.0,99.0,0.0,True
5827646619695,1054,20214251567,2025-04-09T03:22:35Z,,True,2025-04-17T04:16:13Z,True,FULFILLED,PAID,188.0,188.0,0.0,True
5946138918959,1060,20214251567,2025-06-16T08:05:28Z,,True,2025-06-16T08:50:18Z,True,FULFILLED,PAID,99.0,99.0,12.91,True
5996805619759,1061,20214251567,2025-07-16T08:05:33Z,,True,2025-07-16T08:31:53Z,True,FULFILLED,PAID,99.0,99.0,12.91,True
6054675054639,1120,20214251567,2025-08-19T08:05:38Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6130657558575,1127,20214251567,2025-09-19T08:05:28Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6420089962543,1139,20214251567,2026-02-19T08:04:33Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6181361778735,1128,20214251567,2025-10-19T08:04:59Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6242674475055,1130,20214251567,2025-11-19T08:05:39Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6317525139503,1134,20214251567,2025-12-19T08:05:55Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6366933909551,1137,20214251567,2026-01-19T08:04:22Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
6474668179503,1141,20214251567,2026-03-19T08:04:22Z,,False,,True,FULFILLED,PAID,99.0,99.0,12.91,True
